request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15655999.99,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,Recommended full_payment based on financial safety and preferences.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,Recommended full_payment based on financial safety and preferences.
request_28,311.31,not_affordable,not_recommended,none,2024-06-15,none,No safe payment plan found within the 90-day horizon.
request_29,51524.00,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,Recommended full_payment based on financial safety and preferences.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Recommended installments based on financial safety and preferences.
request_31,1875971.99,not_affordable,not_recommended,none,2024-09-15,none,No safe payment plan found within the 90-day horizon.
request_32,12840.42,not_affordable,not_recommended,none,2025-04-15,none,No safe payment plan found within the 90-day horizon.
request_33,17087.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,Recommended full_payment based on financial safety and preferences.
request_35,1898.35,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_36,467.71,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_37,3977555.38,not_affordable,not_recommended,none,2024-04-15,none,No safe payment plan found within the 90-day horizon.
request_38,182.82,not_affordable,not_recommended,none,2025-10-15,none,No safe payment plan found within the 90-day horizon.
request_39,43667.63,not_affordable,not_recommended,none,2026-04-15,none,No safe payment plan found within the 90-day horizon.
request_40,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_41,4088517.69,not_affordable,not_recommended,none,2025-11-15,none,No safe payment plan found within the 90-day horizon.
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,Recommended full_payment based on financial safety and preferences.
request_43,6980767.42,not_affordable,not_recommended,none,2024-09-15,none,No safe payment plan found within the 90-day horizon.
request_44,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_45,1811950.89,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_46,24571.57,affordable_with_plan,partial_payment,2024-12-03:24571.57|2024-12-15:24878.43,2024-12-15,none,Recommended partial_payment based on financial safety and preferences.
request_47,38113999.96,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,Recommended full_payment based on financial safety and preferences.
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,Recommended full_payment based on financial safety and preferences.
request_49,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,Recommended full_payment based on financial safety and preferences.
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,Recommended full_payment based on financial safety and preferences.
request_52,18573.87,not_affordable,not_recommended,none,2024-06-15,none,No safe payment plan found within the 90-day horizon.
request_53,477.89,not_affordable,not_recommended,none,2026-01-15,none,No safe payment plan found within the 90-day horizon.
request_54,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_55,7201.03,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_56,524.86,affordable_with_plan,partial_payment,2025-02-03:524.86|2025-02-15:356.70,2025-02-15,none,Recommended partial_payment based on financial safety and preferences.
request_57,3318.23,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_58,16225999.98,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,Recommended full_payment based on financial safety and preferences.
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Recommended installments based on financial safety and preferences.
request_60,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
